# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
       320     1.24777e-05     1.04926e-07
       321     1.24557e-05     1.04505e-07
       322     1.24338e-05     1.04086e-07
       323     1.24122e-05     1.03671e-07
       324     1.23907e-05     1.03258e-07
       325     1.23693e-05     1.02848e-07
       326     1.23482e-05     1.02441e-07
       327     1.23271e-05     1.02037e-07
       328     1.23063e-05     1.01635e-07
       329     1.22856e-05     1.01236e-07
       330     1.22650e-05     1.00840e-07
       331     1.22446e-05     1.00446e-07
       332     1.22244e-05     1.00055e-07
       333     1.22043e-05     9.96673e-08
       334     1.21844e-05     9.92819e-08
       335     1.21646e-05     9.88991e-08
       336     1.21449e-05     9.85191e-08
       337     1.21255e-05     9.81417e-08
       338     1.21062e-05     9.77669e-08
       339     1.20870e-05     9.73948e-08
       340     1.20680e-05     9.70253e-08
       341     1.20491e-05     9.66585e-08
       342     1.20304e-05     9.62943e-08
       343     1.20118e-05     9.59327e-08
       344     1.19934e-05     9.55737e-08
       345     1.19751e-05     9.52173e-08
       346     1.19569e-05     9.48636e-08
       347     1.19389e-05     9.45124e-08
       348     1.19211e-05     9.41639e-08
       349     1.19034e-05     9.38179e-08
       350     1.18858e-05     9.34745e-08
       351     1.18683e-05     9.31338e-08
       352     1.18510e-05     9.27956e-08
       353     1.18338e-05     9.24600e-08
       354     1.18167e-05     9.21270e-08
       355     1.17998e-05     9.17966e-08
       356     1.17830e-05     9.14688e-08
       357     1.17663e-05     9.11435e-08
       358     1.17498e-05     9.08208e-08
       359     1.17333e-05     9.05007e-08
       360     1.17170e-05     9.01831e-08
       361     1.17008e-05     8.98681e-08
       362     1.16847e-05     8.95556e-08
       363     1.16688e-05     8.92458e-08
       364     1.16529e-05     8.89384e-08
       365     1.16372e-05     8.86336e-08
       366     1.16216e-05     8.83314e-08
       367     1.16061e-05     8.80317e-08
       368     1.15907e-05     8.77345e-08
       369     1.15754e-05     8.74398e-08
       370     1.15602e-05     8.71477e-08
       371     1.15451e-05     8.68580e-08
       372     1.15302e-05     8.65707e-08
       373     1.15153e-05     8.62859e-08
       374     1.15005e-05     8.60034e-08
       375     1.14859e-05     8.57233e-08
       376     1.14713e-05     8.54456e-08
       377     1.14568e-05     8.51702e-08
       378     1.14425e-05     8.48970e-08
       379     1.14282e-05     8.46262e-08
       380     1.14140e-05     8.43576e-08
       381     1.14000e-05     8.40912e-08
       382     1.13860e-05     8.38270e-08
       383     1.13721e-05     8.35650e-08
       384     1.13583e-05     8.33051e-08
       385     1.13446e-05     8.30474e-08
       386     1.13310e-05     8.27917e-08
       387     1.13174e-05     8.25382e-08
       388     1.13040e-05     8.22867e-08
       389     1.12906e-05     8.20372e-08
       390     1.12774e-05     8.17897e-08
       391     1.12642e-05     8.15442e-08
       392     1.12511e-05     8.13007e-08
       393     1.12381e-05     8.10591e-08
       394     1.12251e-05     8.08194e-08
       395     1.12123e-05     8.05816e-08
       396     1.11995e-05     8.03456e-08
       397     1.11868e-05     8.01115e-08
