# Smooth curve fit to spectrum data.
#        ell        C_l_a        C_l_x
  4.7300e+02   8.6104e-06   5.9621e-08
  4.7400e+02   8.6034e-06   5.9499e-08
  4.7500e+02   8.5964e-06   5.9377e-08
  4.7600e+02   8.5894e-06   5.9256e-08
  4.7700e+02   8.5825e-06   5.9136e-08
  4.7800e+02   8.5756e-06   5.9017e-08
  4.7900e+02   8.5688e-06   5.8898e-08
  4.8000e+02   8.5620e-06   5.8781e-08
  4.8100e+02   8.5552e-06   5.8664e-08
  4.8200e+02   8.5485e-06   5.8548e-08
  4.8300e+02   8.5418e-06   5.8433e-08
  4.8400e+02   8.5351e-06   5.8319e-08
  4.8500e+02   8.5284e-06   5.8205e-08
  4.8600e+02   8.5218e-06   5.8092e-08
  4.8700e+02   8.5153e-06   5.7980e-08
  4.8800e+02   8.5087e-06   5.7869e-08
  4.8900e+02   8.5022e-06   5.7759e-08
  4.9000e+02   8.4958e-06   5.7649e-08
  4.9100e+02   8.4893e-06   5.7540e-08
  4.9200e+02   8.4829e-06   5.7432e-08
  4.9300e+02   8.4766e-06   5.7324e-08
  4.9400e+02   8.4702e-06   5.7218e-08
  4.9500e+02   8.4639e-06   5.7112e-08
  4.9600e+02   8.4576e-06   5.7007e-08
  4.9700e+02   8.4514e-06   5.6902e-08
  4.9800e+02   8.4452e-06   5.6798e-08
  4.9900e+02   8.4390e-06   5.6695e-08
  5.0000e+02   8.4329e-06   5.6593e-08
  5.0100e+02   8.4268e-06   5.6492e-08
  5.0200e+02   8.4207e-06   5.6391e-08
  5.0300e+02   8.4146e-06   5.6290e-08
  5.0400e+02   8.4086e-06   5.6191e-08
  5.0500e+02   8.4026e-06   5.6092e-08
  5.0600e+02   8.3966e-06   5.5994e-08
  5.0700e+02   8.3907e-06   5.5897e-08
  5.0800e+02   8.3848e-06   5.5800e-08
  5.0900e+02   8.3789e-06   5.5704e-08
  5.1000e+02   8.3731e-06   5.5608e-08
  5.1100e+02   8.3673e-06   5.5513e-08
  5.1200e+02   8.3615e-06   5.5419e-08
  5.1300e+02   8.3557e-06   5.5326e-08
  5.1400e+02   8.3500e-06   5.5233e-08
  5.1500e+02   8.3443e-06   5.5141e-08
  5.1600e+02   8.3386e-06   5.5049e-08
  5.1700e+02   8.3329e-06   5.4958e-08
  5.1800e+02   8.3273e-06   5.4868e-08
  5.1900e+02   8.3217e-06   5.4778e-08
  5.2000e+02   8.3162e-06   5.4689e-08
  5.2100e+02   8.3106e-06   5.4601e-08
  5.2200e+02   8.3051e-06   5.4513e-08
  5.2300e+02   8.2996e-06   5.4426e-08
  5.2400e+02   8.2942e-06   5.4339e-08
  5.2500e+02   8.2887e-06   5.4253e-08
  5.2600e+02   8.2833e-06   5.4168e-08
  5.2700e+02   8.2780e-06   5.4083e-08
  5.2800e+02   8.2726e-06   5.3999e-08
  5.2900e+02   8.2673e-06   5.3915e-08
  5.3000e+02   8.2620e-06   5.3832e-08
  5.3100e+02   8.2567e-06   5.3750e-08
  5.3200e+02   8.2515e-06   5.3668e-08
  5.3300e+02   8.2462e-06   5.3586e-08
  5.3400e+02   8.2410e-06   5.3506e-08
  5.3500e+02   8.2359e-06   5.3425e-08
  5.3600e+02   8.2307e-06   5.3346e-08
  5.3700e+02   8.2256e-06   5.3267e-08
  5.3800e+02   8.2205e-06   5.3188e-08
  5.3900e+02   8.2154e-06   5.3110e-08
  5.4000e+02   8.2103e-06   5.3032e-08
  5.4100e+02   8.2053e-06   5.2956e-08
  5.4200e+02   8.2003e-06   5.2879e-08
  5.4300e+02   8.1953e-06   5.2803e-08
  5.4400e+02   8.1904e-06   5.2728e-08
  5.4500e+02   8.1854e-06   5.2653e-08
  5.4600e+02   8.1805e-06   5.2579e-08
  5.4700e+02   8.1756e-06   5.2505e-08
  5.4800e+02   8.1707e-06   5.2432e-08
  5.4900e+02   8.1659e-06   5.2359e-08
  5.5000e+02   8.1611e-06   5.2287e-08
  5.5100e+02   8.1563e-06   5.2215e-08
  5.5200e+02   8.1515e-06   5.2144e-08
  5.5300e+02   8.1467e-06   5.2073e-08
